,SK_ID_CURR
508,100590
509,100593
510,100594
511,100595
512,100596
513,100597
514,100598
515,100599
516,100600
517,100601
518,100603
519,100604
520,100605
521,100606
522,100608
523,100609
524,100610
525,100611
526,100612
527,100614
528,100615
529,100616
530,100619
531,100620
532,100621
533,100623
534,100624
535,100626
536,100627
537,100628
538,100629
539,100630
540,100631
541,100632
542,100633
543,100634
544,100635
545,100636
546,100637
547,100638
548,100639
549,100640
550,100641
551,100642
552,100643
553,100644
554,100645
555,100646
556,100647
557,100648
558,100649
559,100650
560,100651
561,100652
562,100653
563,100654
564,100655
565,100656
566,100657
567,100658
568,100659
569,100660
570,100661
571,100662
572,100663
573,100664
574,100665
575,100666
576,100667
577,100668
578,100669
579,100670
580,100671
581,100672
582,100673
583,100674
584,100675
585,100676
586,100678
587,100679
588,100680
589,100681
590,100682
591,100683
592,100684
593,100685
594,100686
595,100687
596,100688
597,100689
598,100690
599,100691
600,100692
601,100693
602,100694
603,100695
604,100696
605,100697
606,100698
607,100700
608,100701
609,100703
610,100704
611,100705
612,100706
613,100707
614,100708
615,100709
616,100710
617,100712
618,100713
619,100714
620,100715
621,100716
622,100717
623,100718
624,100719
625,100720
626,100721
627,100722
628,100723
629,100724
630,100725
631,100726
632,100727
633,100728
634,100730
635,100731
636,100732
637,100733
638,100734
639,100735
640,100736
641,100737
642,100738
643,100739
644,100741
645,100742
646,100743
647,100746
648,100748
649,100749
650,100750
651,100755
652,100756
653,100757
654,100758
655,100759
656,100761
657,100764
658,100766
659,100767
660,100768
661,100769
662,100771
663,100773
664,100774
665,100775
666,100776
667,100778
668,100779
669,100780
670,100781
671,100782
672,100783
673,100784
674,100785
675,100786
676,100787
677,100788
678,100789
679,100790
680,100793
681,100794
682,100795
683,100796
684,100798
685,100799
686,100800
687,100801
688,100802
689,100803
690,100804
691,100805
692,100806
693,100807
694,100808
695,100809
696,100810
697,100811
698,100812
699,100813
700,100814
701,100815
702,100816
703,100817
704,100818
705,100819
706,100820
707,100821
708,100822
709,100824
710,100825
711,100827
712,100828
713,100829
714,100831
715,100832
716,100833
717,100834
718,100835
719,100837
720,100838
721,100839
722,100840
723,100841
724,100842
725,100843
726,100844
727,100845
728,100846
729,100847
730,100848
731,100849
732,100850
733,100851
734,100852
735,100853
736,100854
737,100855
738,100856
739,100857
740,100858
741,100859
742,100860
743,100861
744,100862
745,100863
746,100864
747,100865
748,100866
749,100867
750,100868
751,100869
752,100870
753,100871
754,100873
755,100874
756,100875
757,100876
758,100877
759,100878
760,100879
761,100880
762,100881
763,100882
764,100883
765,100884
766,100885
767,100886
768,100887
769,100888
770,100889
771,100890
772,100891
773,100892
774,100893
775,100894
776,100895
777,100896
778,100897
779,100898
780,100899
781,100900
782,100901
783,100902
784,100903
785,100904
786,100905
787,100906
788,100907
789,100908
790,100909
791,100911
792,100912
793,100914
794,100915
795,100916
796,100917
797,100919
798,100920
799,100921
800,100922
801,100923
802,100924
803,100925
804,100926
805,100927
806,100928
807,100929
808,100930
809,100932
810,100933
811,100934
812,100935
813,100936
814,100937
815,100938
816,100939
817,100940
818,100941
819,100942
820,100943
821,100944
822,100945
823,100946
824,100947
825,100948
826,100949
827,100950
828,100951
829,100954
830,100955
831,100956
832,100957
833,100958
834,100959
835,100960
836,100961
837,100962
838,100963
839,100964
840,100966
841,100967
842,100968
843,100969
844,100971
845,100972
846,100973
847,100974
848,100975
849,100976
850,100977
851,100978
852,100979
853,100980
854,100981
855,100985
856,100986
857,100988
858,100989
859,100990
860,100991
861,100992
862,100993
863,100994
864,100995
865,100996
866,100999
867,101000
868,101001
869,101003
870,101004
871,101006
872,101007
873,101009
874,101010
875,101011
876,101012
877,101013
878,101014
879,101015
880,101016
881,101017
882,101018
883,101019
884,101022
885,101023
886,101027
887,101028
888,101029
889,101030
890,101032
891,101033
892,101034
893,101035
894,101036
895,101037
896,101038
897,101039
898,101040
899,101042
900,101043
901,101044
902,101045
903,101046
904,101047
905,101048
906,101049
907,101050
908,101052
909,101053
910,101054
911,101058
912,101059
913,101060
914,101061
915,101062
916,101063
917,101065
918,101066
919,101067
920,101068
921,101069
922,101070
923,101071
924,101072
925,101073
926,101074
927,101075
928,101076
929,101077
930,101078
931,101080
932,101081
933,101082
934,101083
935,101084
936,101085
937,101086
938,101088
939,101089
940,101091
941,101093
942,101094
943,101095
944,101096
945,101098
946,101100
947,101101
948,101102
949,101103
950,101104
951,101105
952,101106
953,101108
954,101109
955,101110
956,101111
957,101112
958,101113
959,101114
960,101115
961,101116
962,101117
963,101119
964,101120
965,101121
966,101122
967,101123
968,101124
969,101127
970,101129
971,101130
972,101131
973,101132
974,101133
975,101134
976,101135
977,101137
978,101138
979,101139
980,101141
981,101142
982,101143
983,101144
984,101145
985,101146
986,101147
987,101148
988,101150
989,101151
990,101152
991,101153
992,101154
993,101155
994,101156
995,101157
996,101158
997,101159
998,101161
999,101162
1000,101163
1001,101164
1002,101165
1003,101166
1004,101167
1005,101168
1006,101170
1007,101171
1008,101172
1009,101173
1010,101174
1011,101175
1012,101176
1013,101177
1014,101178
1015,101179
1016,101180
1017,101182
1018,101183
1019,101184
1020,101185
1021,101187
1022,101188
1023,101189
1024,101191
1025,101192
1026,101195
1027,101196
1028,101197
1029,101199
1030,101201
1031,101202
1032,101203
1033,101205
1034,101206
1035,101207
1036,101208
1037,101210
1038,101212
1039,101214
1040,101215
1041,101216
1042,101217
1043,101218
1044,101219
1045,101220
1046,101221
1047,101222
1048,101224
1049,101226
1050,101227
1051,101228
1052,101229
1053,101230
1054,101231
1055,101232
1056,101233
1057,101234
1058,101236
1059,101238
1060,101239
1061,101240
1062,101241
1063,101242
1064,101245
1065,101246
1066,101247
1067,101248
1068,101249
1069,101250
1070,101251
1071,101252
1072,101253
1073,101254
1074,101255
1075,101256
1076,101257
1077,101260
1078,101261
1079,101262
1080,101263
1081,101264
1082,101265
1083,101266
1084,101267
1085,101270
1086,101272
1087,101273
1088,101274
1089,101275
1090,101276
1091,101277
1092,101278
1093,101280
1094,101282
1095,101283
1096,101284
1097,101285
1098,101286
1099,101288
1100,101289
1101,101290
1102,101291
1103,101293
1104,101295
1105,101298
1106,101300
1107,101302
1108,101303
1109,101304
1110,101306
1111,101307
1112,101309
1113,101310
1114,101311
1115,101312
1116,101313
1117,101314
1118,101315
1119,101316
1120,101317
1121,101319
1122,101320
1123,101321
1124,101322
1125,101323
1126,101324
1127,101325
1128,101326
1129,101328
1130,101330
1131,101331
1132,101333
1133,101334
1134,101335
1135,101336
1136,101338
1137,101339
1138,101340
1139,101341
1140,101342
1141,101344
1142,101347
1143,101348
1144,101349
1145,101350
1146,101351
1147,101352
1148,101357
1149,101359
1150,101360
1151,101361
1152,101364
1153,101369
1154,101370
1155,101371
1156,101372
1157,101373
1158,101375
1159,101376
1160,101377
1161,101378
1162,101379
1163,101381
1164,101382
1165,101384
1166,101385
1167,101386
1168,101387
1169,101388
1170,101389
1171,101390
1172,101391
1173,101392
1174,101393
1175,101394
1176,101395
1177,101396
1178,101397
1179,101400
1180,101402
1181,101403
1182,101404
1183,101405
1184,101406
1185,101407
1186,101408
1187,101409
1188,101410
1189,101411
1190,101413
1191,101414
1192,101415
1193,101416
1194,101417
1195,101418
1196,101419
1197,101420
1198,101421
1199,101422
1200,101423
1201,101425
1202,101430
1203,101431
1204,101432
1205,101433
1206,101435
1207,101436
1208,101437
1209,101438
1210,101439
1211,101441
1212,101442
1213,101443
1214,101444
1215,101445
1216,101446
1217,101447
1218,101450
1219,101451
1220,101452
1221,101453
1222,101454
1223,101455
1224,101456
1225,101457
1226,101458
1227,101459
1228,101460
1229,101461
1230,101462
1231,101463
1232,101464
1233,101466
1234,101468
1235,101469
1236,101470
1237,101471
1238,101473
1239,101474
1240,101475
1241,101476
1242,101477
1243,101479
1244,101480
1245,101481
1246,101482
1247,101483
1248,101484
1249,101485
1250,101486
1251,101487
1252,101488
1253,101489
1254,101490
1255,101491
1256,101492
1257,101493
1258,101494
1259,101495
1260,101496
1261,101498
1262,101499
1263,101500
1264,101501
1265,101502
1266,101503
1267,101505
1268,101506
1269,101507
1270,101508
1271,101509
1272,101510
1273,101511
1274,101513
1275,101514
1276,101515
1277,101516
1278,101517
1279,101518
1280,101519
1281,101520
1282,101521
1283,101522
1284,101523
1285,101524
1286,101525
1287,101526
1288,101527
1289,101528
1290,101529
1291,101530
1292,101531
1293,101532
1294,101533
1295,101534
1296,101535
1297,101536
1298,101537
1299,101538
1300,101539
1301,101540
1302,101541
1303,101542
1304,101543
1305,101544
1306,101545
1307,101546
1308,101549
1309,101550
1310,101551
1311,101552
1312,101553
1313,101554
1314,101556
1315,101557
1316,101558
1317,101559
1318,101560
1319,101561
1320,101562
1321,101563
1322,101564
1323,101565
1324,101566
1325,101567
1326,101568
1327,101569
1328,101571
1329,101573
1330,101574
1331,101575
1332,101576
1333,101577
1334,101579
1335,101581
1336,101582
1337,101583
1338,101584
1339,101585
1340,101586
1341,101587
1342,101589
1343,101590
1344,101591
1345,101592
1346,101593
1347,101594
1348,101595
1349,101596
1350,101597
1351,101598
1352,101599
1353,101600
1354,101601
1355,101603
1356,101604
1357,101605
1358,101606
1359,101607
1360,101608
1361,101609
1362,101611
1363,101612
1364,101613
1365,101615
1366,101617
1367,101618
1368,101619
1369,101620
1370,101621
1371,101622
1372,101623
1373,101624
1374,101625
1375,101626
1376,101627
1377,101628
1378,101629
1379,101630
1380,101631
1381,101632
1382,101633
1383,101634
1384,101635
1385,101636
1386,101637
1387,101638
1388,101639
1389,101640
1390,101641
1391,101642
1392,101645
1393,101646
1394,101647
1395,101648
1396,101651
1397,101652
1398,101653
1399,101654
1400,101655
1401,101656
1402,101657
1403,101658
1404,101659
1405,101660
1406,101661
1407,101662
1408,101663
1409,101664
1410,101666
1411,101668
1412,101670
1413,101671
1414,101672
1415,101673
1416,101676
1417,101677
1418,101679
1419,101680
1420,101681
1421,101683
1422,101684
1423,101685
1424,101687
1425,101688
1426,101689
1427,101690
1428,101691
1429,101692
1430,101693
1431,101694
1432,101695
1433,101696
1434,101698
1435,101699
1436,101701
1437,101702
1438,101703
1439,101704
1440,101705
1441,101706
1442,101707
1443,101708
1444,101709
1445,101710
1446,101712
1447,101713
1448,101716
1449,101717
1450,101718
1451,101719
1452,101720
1453,101721
1454,101722
1455,101723
1456,101724
1457,101725
1458,101726
1459,101727
1460,101729
1461,101730
1462,101731
1463,101733
1464,101734
1465,101735
1466,101736
1467,101737
1468,101738
1469,101739
1470,101740
1471,101741
1472,101742
1473,101743
1474,101744
1475,101745
1476,101747
1477,101748
1478,101749
1479,101750
1480,101751
1481,101752
1482,101753
1483,101754
1484,101755
1485,101756
1486,101760
1487,101761
1488,101763
1489,101765
1490,101766
1491,101767
1492,101768
1493,101769
1494,101770
1495,101771
1496,101772
1497,101773
1498,101774
1499,101775
1500,101776
1501,101777
1502,101778
1503,101779
1504,101781
1505,101782
1506,101783
1507,101785
1508,101786
1509,101787
1510,101788
1511,101790
1512,101791
1513,101792
1514,101793
1515,101794
1516,101795
1517,101796
1518,101797
1519,101798
1520,101799
1521,101800
1522,101801
1523,101802
1524,101803
1525,101804
1526,101805
1527,101806
1528,101807
1529,101808
1530,101809
1531,101810
1532,101811
1533,101812
1534,101813
1535,101814
1536,101815
1537,101817
1538,101818
1539,101820
1540,101821
1541,101822
1542,101823
1543,101824
1544,101825
1545,101826
1546,101828
1547,101829
1548,101830
1549,101831
1550,101832
1551,101833
1552,101834
1553,101835
1554,101836
1555,101837
1556,101838
1557,101839
1558,101840
1559,101841
1560,101842
1561,101843
1562,101844
1563,101845
1564,101846
1565,101847
1566,101848
1567,101849
1568,101850
1569,101851
1570,101852
1571,101853
1572,101854
1573,101855
1574,101856
1575,101857
1576,101858
1577,101859
1578,101860
1579,101861
1580,101862
1581,101864
1582,101865
1583,101866
1584,101868
1585,101869
1586,101871
1587,101872
1588,101874
1589,101875
1590,101876
1591,101877
1592,101881
1593,101882
1594,101883
1595,101884
1596,101885
1597,101886
1598,101888
1599,101889
1600,101890
1601,101891
1602,101892
1603,101893
1604,101894
1605,101895
1606,101896
1607,101898
1608,101899
1609,101900
1610,101902
1611,101904
1612,101905
1613,101906
1614,101907
1615,101908
1616,101909
1617,101910
1618,101911
1619,101912
1620,101913
1621,101914
1622,101915
1623,101916
1624,101917
1625,101918
1626,101919
1627,101923
1628,101924
1629,101925
1630,101926
1631,101927
1632,101928
1633,101929
1634,101930
1635,101931
1636,101932
1637,101933
1638,101934
1639,101935
1640,101936
1641,101937
1642,101938
1643,101939
1644,101940
1645,101941
1646,101942
1647,101943
1648,101944
1649,101945
1650,101946
1651,101947
1652,101948
1653,101949
1654,101950
1655,101951
1656,101952
1657,101953
1658,101954
1659,101955
1660,101956
1661,101957
1662,101958
1663,101959
1664,101960
1665,101963
1666,101964
1667,101965
1668,101966
1669,101967
1670,101968
1671,101969
1672,101970
1673,101972
1674,101973
1675,101974
1676,101975
1677,101977
1678,101978
1679,101979
1680,101980
1681,101981
1682,101982
1683,101983
1684,101984
1685,101985
1686,101986
1687,101987
1688,101988
1689,101989
1690,101990
1691,101991
1692,101992
1693,101993
1694,101994
1695,101995
1696,101996
1697,101997
1698,101998
1699,101999
1700,102000
1701,102001
1702,102003
1703,102004
1704,102006
1705,102008
1706,102009
1707,102010
1708,102011
1709,102012
1710,102013
1711,102014
1712,102015
1713,102016
1714,102018
1715,102020
1716,102021
1717,102022
1718,102023
1719,102024
1720,102025
1721,102026
1722,102027
1723,102028
1724,102030
1725,102031
1726,102032
1727,102033
1728,102034
1729,102035
1730,102036
1731,102037
1732,102039
1733,102040
1734,102041
1735,102042
1736,102043
1737,102044
1738,102045
1739,102046
1740,102047
1741,102048
1742,102049
1743,102050
1744,102053
1745,102055
1746,102056
1747,102057
1748,102058
1749,102059
1750,102060
1751,102061
1752,102063
1753,102064
1754,102065
1755,102066
1756,102069
1757,102071
1758,102072
1759,102073
1760,102074
1761,102075
1762,102076
1763,102077
1764,102078
1765,102079
1766,102080
1767,102081
1768,102082
1769,102083
1770,102084
1771,102085
1772,102086
1773,102087
1774,102088
1775,102089
1776,102091
1777,102093
1778,102094
1779,102095
1780,102096
1781,102097
1782,102098
1783,102101
1784,102102
1785,102103
1786,102104
1787,102105
1788,102106
1789,102107
1790,102108
1791,102109
1792,102110
1793,102111
1794,102114
1795,102115
1796,102116
1797,102117
1798,102118
1799,102119
1800,102120
1801,102121
1802,102124
1803,102127
1804,102128
1805,102129
1806,102130
1807,102131
1808,102132
1809,102133
1810,102134
1811,102135
1812,102136
1813,102137
1814,102138
1815,102139
1816,102140
1817,102141
1818,102142
1819,102143
1820,102144
1821,102145
1822,102148
1823,102149
1824,102150
1825,102152
1826,102153
1827,102154
1828,102155
1829,102156
1830,102157
1831,102160
1832,102163
1833,102164
1834,102167
1835,102168
1836,102169
1837,102170
1838,102171
1839,102172
1840,102173
1841,102175
1842,102176
1843,102177
1844,102178
1845,102179
1846,102180
1847,102181
1848,102182
1849,102183
1850,102184
1851,102185
1852,102186
1853,102187
1854,102188
1855,102189
1856,102190
1857,102191
1858,102192
1859,102194
1860,102195
1861,102196
1862,102197
1863,102199
1864,102200
1865,102201
1866,102202
1867,102203
1868,102204
1869,102207
1870,102208
1871,102209
1872,102210
1873,102211
1874,102212
1875,102213
1876,102214
1877,102215
1878,102216
1879,102217
1880,102219
1881,102220
1882,102222
1883,102223
1884,102224
1885,102225
1886,102226
1887,102227
1888,102228
1889,102229
1890,102231
1891,102232
1892,102233
1893,102234
1894,102235
1895,102236
1896,102237
1897,102239
1898,102240
1899,102241
1900,102242
1901,102243
1902,102244
1903,102245
1904,102246
1905,102247
1906,102249
1907,102250
1908,102251
1909,102253
1910,102254
1911,102255
1912,102256
1913,102257
1914,102258
1915,102260
1916,102261
1917,102263
1918,102264
1919,102265
1920,102266
1921,102267
1922,102268
1923,102269
1924,102270
1925,102271
1926,102274
1927,102275
1928,102276
1929,102277
1930,102278
1931,102279
1932,102280
1933,102281
1934,102282
1935,102283
1936,102284
1937,102285
1938,102287
1939,102288
1940,102289
1941,102290
1942,102291
1943,102292
1944,102295
1945,102297
1946,102299
1947,102300
1948,102301
1949,102302
1950,102304
1951,102305
1952,102306
1953,102307
1954,102308
1955,102310
1956,102311
1957,102312
1958,102313
1959,102314
1960,102316
1961,102317
1962,102318
1963,102319
1964,102320
1965,102321
1966,102322
1967,102323
1968,102324
1969,102325
1970,102326
1971,102327
1972,102328
1973,102329
1974,102330
1975,102331
1976,102332
1977,102333
1978,102334
1979,102335
1980,102336
1981,102337
1982,102338
1983,102339
1984,102341
1985,102343
1986,102345
1987,102348
1988,102349
1989,102350
1990,102351
1991,102352
1992,102353
1993,102354
1994,102355
1995,102356
1996,102357
1997,102358
1998,102359
1999,102360
2000,102361
2001,102362
2002,102363
2003,102364
2004,102365
2005,102366
2006,102367
2007,102368
2008,102369
2009,102370
2010,102371
2011,102372
2012,102373
2013,102375
2014,102376
2015,102377
2016,102378
2017,102379
2018,102381
2019,102382
2020,102383
2021,102384
2022,102385
2023,102386
2024,102388
2025,102389
2026,102390
2027,102391
2028,102392
2029,102394
2030,102395
2031,102396
2032,102397
2033,102398
2034,102399
2035,102400
2036,102401
2037,102402
2038,102404
2039,102405
2040,102406
2041,102407
2042,102408
2043,102409
2044,102410
2045,102411
2046,102412
2047,102417
2048,102418
2049,102419
2050,102420
2051,102421
2052,102422
2053,102423
2054,102424
2055,102425
2056,102426
2057,102427
2058,102428
2059,102429
2060,102430
2061,102431
2062,102432
2063,102433
2064,102434
2065,102435
2066,102436
2067,102437
2068,102438
2069,102440
2070,102442
2071,102446
2072,102447
2073,102451
2074,102452
2075,102453
2076,102454
2077,102455
2078,102457
2079,102460
2080,102461
2081,102462
2082,102463
2083,102464
2084,102466
2085,102467
2086,102468
2087,102469
2088,102472
2089,102473
2090,102474
2091,102477
2092,102478
2093,102479
2094,102480
2095,102481
2096,102482
2097,102483
2098,102484
2099,102485
2100,102486
2101,102487
2102,102488
2103,102489
2104,102490
2105,102491
2106,102492
2107,102493
2108,102494
2109,102495
2110,102496
2111,102497
2112,102498
2113,102499
2114,102500
2115,102501
2116,102502
2117,102503
2118,102504
2119,102505
2120,102507
2121,102508
2122,102510
2123,102511
2124,102512
2125,102513
2126,102514
2127,102515
2128,102516
2129,102517
2130,102518
2131,102520
2132,102521
2133,102523
2134,102524
2135,102525
2136,102526
2137,102527
2138,102528
2139,102529
2140,102530
2141,102531
2142,102532
2143,102533
2144,102534
2145,102535
2146,102536
2147,102537
2148,102538
2149,102539
2150,102540
2151,102541
2152,102542
2153,102543
2154,102544
2155,102546
2156,102547
2157,102548
2158,102550
2159,102551
2160,102552
2161,102553
2162,102554
2163,102555
2164,102556
2165,102557
2166,102558
2167,102559
2168,102560
2169,102561
2170,102564
2171,102565
2172,102566
2173,102567
2174,102569
2175,102570
2176,102571
2177,102572
2178,102573
2179,102574
2180,102575
2181,102576
2182,102577
2183,102578
2184,102579
2185,102580
2186,102581
2187,102583
2188,102584
2189,102585
2190,102586
2191,102587
2192,102588
2193,102589
2194,102590
2195,102591
2196,102593
2197,102594
2198,102595
2199,102596
2200,102598
2201,102599
2202,102600
2203,102601
2204,102602
2205,102603
2206,102604
2207,102606
2208,102607
2209,102608
2210,102609
2211,102610
2212,102611
2213,102612
2214,102613
2215,102615
2216,102616
2217,102618
2218,102619
2219,102620
2220,102621
2221,102622
2222,102623
2223,102624
2224,102625
2225,102626
2226,102627
2227,102628
2228,102629
2229,102630
2230,102631
2231,102632
2232,102633
2233,102635
2234,102636
2235,102637
2236,102638
2237,102639
2238,102640
2239,102641
2240,102642
2241,102643
2242,102644
2243,102645
2244,102646
2245,102647
2246,102648
2247,102649
2248,102650
2249,102651
2250,102653
2251,102654
2252,102656
2253,102657
2254,102658
2255,102659
2256,102660
2257,102661
2258,102662
2259,102663
2260,102664
2261,102665
2262,102666
2263,102667
2264,102668
2265,102669
2266,102670
2267,102672
2268,102673
2269,102674
2270,102675
2271,102676
2272,102677
2273,102678
2274,102679
2275,102680
2276,102681
2277,102682
2278,102683
2279,102684
2280,102685
2281,102686
2282,102687
2283,102688
2284,102689
2285,102690
2286,102691
2287,102692
2288,102693
2289,102695
2290,102696
2291,102697
2292,102698
2293,102699
2294,102700
2295,102702
2296,102705
2297,102706
2298,102707
2299,102708
2300,102709
2301,102710
2302,102711
2303,102712
2304,102714
2305,102715
2306,102716
2307,102717
2308,102718
2309,102719
2310,102721
2311,102722
2312,102723
2313,102724
2314,102725
2315,102726
2316,102727
2317,102728
2318,102729
2319,102730
2320,102732
2321,102734
2322,102735
2323,102736
2324,102737
2325,102738
2326,102739
2327,102740
2328,102741
2329,102742
2330,102743
2331,102744
2332,102745
2333,102746
2334,102747
2335,102748
2336,102750
2337,102751
2338,102752
2339,102753
2340,102754
2341,102756
2342,102757
2343,102758
2344,102759
2345,102760
2346,102761
2347,102762
2348,102764
2349,102765
2350,102766
2351,102767
2352,102768
2353,102769
2354,102771
2355,102773
2356,102774
2357,102775
2358,102776
2359,102777
2360,102778
2361,102779
2362,102780
2363,102781
2364,102782
2365,102783
2366,102784
2367,102785
2368,102786
2369,102787
2370,102788
2371,102789
2372,102790
2373,102791
2374,102792
2375,102793
2376,102794
2377,102795
2378,102796
2379,102797
2380,102798
2381,102800
2382,102801
2383,102802
2384,102803
2385,102804
2386,102805
2387,102806
2388,102807
2389,102808
2390,102809
2391,102810
2392,102811
2393,102812
2394,102813
2395,102814
2396,102815
2397,102816
2398,102817
2399,102818
2400,102819
2401,102820
2402,102821
2403,102822
2404,102823
2405,102824
2406,102825
2407,102826
2408,102827
2409,102828
2410,102829
2411,102830
2412,102831
2413,102832
2414,102833
2415,102834
2416,102835
2417,102836
2418,102837
2419,102839
2420,102840
2421,102841
2422,102842
2423,102843
2424,102844
2425,102845
2426,102846
2427,102847
2428,102848
2429,102849
2430,102850
2431,102851
2432,102852
2433,102853
2434,102855
2435,102856
2436,102857
2437,102858
2438,102859
2439,102860
2440,102861
2441,102864
2442,102865
2443,102866
2444,102869
2445,102870
2446,102871
2447,102872
2448,102873
2449,102874
2450,102875
2451,102876
2452,102877
2453,102879
2454,102880
2455,102881
2456,102882
2457,102883
2458,102884
2459,102885
2460,102886
2461,102888
2462,102889
2463,102890
2464,102891
2465,102892
2466,102893
2467,102894
2468,102895
2469,102896
2470,102897
2471,102899
2472,102900
2473,102901
2474,102902
2475,102903
2476,102905
2477,102906
2478,102907
2479,102908
2480,102909
2481,102910
2482,102911
2483,102913
2484,102914
2485,102915
2486,102916
2487,102917
2488,102918
2489,102920
2490,102921
2491,102922
2492,102923
2493,102924
2494,102925
2495,102926
